time,thumb,index,middle,ring,little
0,-0.05,-0.01,-0.0,0.01,-0.01
1,-0.05,-0.04,-0.02,0.0,-0.03
2,-0.05,0.0,-0.01,-0.0,0.0
3,-0.07,0.0,-0.01,-0.02,-0.02
4,-0.05,0.0,0.0,0.01,-0.0
5,-0.11,-0.03,-0.02,-0.03,-0.02
6,-0.05,-0.01,0.02,0.02,0.01
7,-0.03,-0.01,-0.01,0.0,0.01
8,-0.08,-0.01,0.01,0.02,-0.04
9,-0.07,-0.02,-0.0,-0.02,-0.06
10,-0.03,0.02,-0.03,-0.02,-0.03
11,-0.05,0.01,-0.01,-0.01,-0.0
12,-0.05,0.02,-0.01,0.01,-0.05
13,-0.05,0.0,-0.01,-0.01,-0.02
14,-0.03,0.01,0.01,-0.05,-0.03
15,0.04,0.01,-0.0,0.01,0.0
16,-0.08,-0.01,-0.0,-0.03,-0.01
17,-0.04,0.02,-0.02,-0.01,-0.02
18,-0.1,-0.03,-0.02,-0.07,-0.06
19,-0.03,-0.01,0.0,-0.0,0.01
20,-0.02,0.0,-0.04,-0.02,-0.02
21,0.01,-0.01,-0.0,-0.02,0.01
22,-0.07,-0.03,-0.0,-0.04,-0.06
23,0.01,0.01,0.0,-0.01,0.02
24,-0.03,-0.0,-0.0,-0.01,0.01
25,-0.08,-0.0,-0.01,-0.01,0.01
26,-0.07,-0.01,-0.02,-0.01,-0.03
27,0.01,0.02,-0.03,-0.03,-0.0
28,-0.03,0.01,0.01,-0.0,0.01
29,-0.03,-0.01,0.03,-0.01,-0.03
30,-0.08,0.01,0.01,-0.0,-0.03
31,-0.04,0.02,0.04,0.06,0.0
32,0.01,0.1,0.09,0.05,0.1
33,-0.06,0.34,0.17,0.13,0.09
34,-0.0,1.03,0.33,0.21,0.36
35,0.07,1.6,0.72,0.31,1.27
36,0.25,2.04,1.07,0.63,2.09
37,0.19,1.84,1.25,1.13,2.24
38,0.28,1.99,1.47,1.66,2.48
39,0.18,1.87,1.28,1.77,2.37
40,0.36,1.81,1.32,1.75,2.24
41,0.28,1.77,1.25,1.52,2.12
42,0.19,1.7,1.27,1.6,1.96
43,0.11,1.6,1.23,1.19,1.82
44,0.22,1.48,1.14,1.43,1.9
45,0.28,1.62,1.15,1.43,1.96
46,0.2,1.62,1.24,1.48,2.05
47,0.15,1.49,1.02,1.19,1.63
48,0.17,1.61,1.16,1.36,1.8
