time,thumb,index,middle,ring,little
0,-0.11,-0.03,-0.04,-0.07,-0.03
1,-0.03,-0.03,0.01,-0.09,-0.0
2,0.02,0.01,0.01,0.0,0.06
3,-0.04,-0.01,-0.04,0.02,0.06
4,-0.07,-0.05,-0.01,-0.04,-0.04
5,-0.07,0.01,-0.05,-0.04,-0.0
6,-0.0,-0.01,0.01,-0.01,0.07
7,-0.05,-0.06,0.01,0.03,0.07
8,-0.04,0.01,-0.03,-0.05,0.0
9,-0.08,-0.03,-0.03,-0.04,-0.01
10,-0.02,-0.02,0.03,-0.04,0.03
11,-0.04,-0.06,-0.02,0.0,0.09
12,-0.05,0.02,0.0,-0.09,-0.0
13,-0.11,-0.03,-0.04,-0.03,-0.01
14,-0.09,-0.04,0.02,-0.1,0.03
15,0.04,-0.01,0.0,0.01,0.03
16,-0.08,-0.03,-0.04,0.01,0.06
17,-0.11,-0.02,-0.03,-0.07,-0.04
18,-0.04,-0.03,-0.01,-0.02,-0.0
19,0.03,-0.0,-0.01,-0.03,0.06
20,-0.04,0.02,0.01,-0.01,-0.04
21,-0.12,-0.04,-0.04,-0.06,-0.03
22,-0.07,0.01,0.01,-0.03,-0.07
23,-0.03,-0.01,0.01,-0.04,0.04
24,-0.03,-0.02,-0.03,-0.02,0.04
25,-0.04,-0.04,-0.02,-0.07,0.03
26,-0.08,-0.01,-0.01,-0.01,-0.01
27,-0.04,-0.0,0.01,0.02,0.08
28,-0.05,0.0,0.02,-0.01,0.04
29,-0.1,-0.01,-0.06,-0.06,-0.03
30,-0.11,-0.05,-0.03,-0.04,-0.03
31,-0.1,-0.03,-0.01,0.03,0.02
32,-0.0,-0.0,0.0,-0.03,0.06
33,0.2,0.24,0.11,-0.02,0.02
34,1.05,1.74,0.96,0.32,0.03
35,1.36,1.71,1.08,1.26,0.01
36,1.77,1.81,1.16,1.47,0.15
37,1.32,1.7,0.93,1.12,0.09
38,1.09,1.44,0.95,1.04,0.04
39,1.48,1.33,0.87,1.17,0.11
40,2.24,1.55,0.91,1.07,0.12
41,1.61,1.52,0.94,0.86,0.09
42,1.27,1.3,0.82,0.81,0.02
43,1.26,1.24,0.79,0.98,0.0
44,1.58,1.37,0.96,0.81,0.11
45,1.51,1.45,0.82,1.01,0.02
46,1.13,1.31,0.79,0.82,0.06
47,1.07,1.18,0.69,0.76,-0.0
48,1.27,1.34,0.82,0.92,0.08
49,1.35,1.25,0.79,0.84,0.08
50,1.2,1.3,0.89,0.86,0.01
51,1.21,1.21,0.74,0.76,0.02
52,1.32,1.08,0.74,0.93,0.03
53,1.41,1.26,0.77,0.87,0.1
54,1.25,1.23,0.71,0.75,0.0
55,1.16,1.11,0.68,0.65,0.06
56,1.14,1.18,0.82,0.75,-0.02
57,1.36,1.18,0.75,0.84,0.08
58,1.32,1.23,0.82,0.95,0.09
59,1.19,1.08,0.68,0.68,0.02
60,1.21,1.21,0.76,0.53,0.02
61,1.37,1.13,0.72,0.81,0.09
