time,thumb,index,middle,ring,little
0,0.05,-0.01,-0.0,0.04,-0.01
1,0.06,0.01,0.01,0.03,0.03
2,0.05,-0.01,-0.05,0.02,0.0
3,0.02,0.0,0.0,0.01,-0.0
4,0.02,0.03,-0.01,0.06,-0.01
5,0.06,-0.0,0.01,0.05,0.0
6,0.03,-0.01,-0.01,0.03,0.0
7,0.02,-0.01,-0.01,0.04,0.0
8,-0.01,-0.02,-0.04,0.04,-0.02
9,0.13,0.02,0.01,0.02,0.02
10,0.07,0.01,-0.04,0.03,-0.0
11,0.04,0.01,-0.02,0.04,-0.01
12,-0.04,-0.05,-0.01,-0.0,-0.03
13,0.02,-0.02,0.01,0.03,0.01
14,0.05,0.0,0.01,0.03,0.02
15,0.08,-0.04,-0.01,-0.0,-0.02
16,-0.0,-0.02,-0.01,0.01,-0.01
17,0.01,-0.02,-0.04,0.05,-0.0
18,0.05,-0.02,0.01,0.05,-0.01
19,0.06,-0.02,-0.01,0.06,-0.01
20,-0.0,-0.01,0.01,0.01,-0.02
21,0.0,-0.01,-0.01,0.04,-0.08
22,0.04,-0.01,-0.01,0.03,-0.0
23,0.01,0.01,-0.02,0.02,0.0
24,0.04,-0.0,-0.01,0.03,0.0
25,-0.02,-0.03,-0.01,0.02,-0.01
26,0.09,0.01,0.0,0.02,0.02
27,0.0,-0.03,0.03,0.05,-0.0
28,0.06,-0.01,-0.01,-0.02,-0.02
29,-0.03,-0.0,-0.01,-0.0,-0.05
30,0.07,-0.0,-0.01,0.02,-0.02
31,0.07,0.0,0.01,0.03,-0.0
32,-0.0,0.03,0.01,-0.0,-0.04
33,-0.07,0.01,0.01,-0.01,-0.07
34,0.04,0.03,0.03,-0.04,0.04
35,0.22,0.26,0.05,0.04,0.16
36,0.19,1.05,0.1,0.04,0.07
37,0.33,1.74,0.11,0.03,0.06
38,0.56,1.78,0.15,0.04,0.07
39,1.04,1.79,0.17,0.04,0.09
40,0.91,1.71,0.17,0.04,0.04
41,0.79,1.62,0.17,0.03,0.04
42,0.73,1.57,0.15,0.03,0.04
43,0.99,1.62,0.15,0.04,0.06
44,0.87,1.5,0.15,0.02,0.05
45,0.85,1.46,0.14,0.03,0.02
46,0.61,1.4,0.14,-0.01,-0.05
47,0.89,1.43,0.14,0.03,0.05
48,0.88,1.41,0.13,0.02,0.03
49,0.7,1.32,0.12,0.04,0.01
50,0.52,1.33,0.13,-0.0,-0.04
51,0.73,1.32,0.12,0.02,0.03
52,0.88,1.31,0.13,0.03,0.01
53,0.66,1.31,0.12,0.04,-0.02
54,0.52,1.29,0.11,0.0,-0.03
55,0.62,1.32,0.12,-0.0,0.01
56,0.72,1.32,0.12,0.01,0.02
57,0.62,1.28,0.14,-0.0,-0.02
58,0.62,1.28,0.11,0.0,-0.02
59,0.61,1.26,0.11,-0.0,-0.05
60,0.75,1.31,0.11,0.0,0.0
61,0.6,1.3,0.12,-0.01,-0.01
62,0.64,1.24,0.11,0.01,0.0
63,0.44,1.2,0.07,-0.05,-0.03
64,0.71,1.3,0.11,0.0,0.0
65,0.66,1.17,0.11,0.0,-0.03
66,0.66,1.22,0.13,0.0,-0.02
67,0.45,1.21,0.11,-0.01,-0.05
68,0.56,1.25,0.11,0.01,-0.0
69,0.67,1.28,0.11,0.01,0.01
70,0.56,1.22,0.11,-0.0,0.0
71,0.37,1.27,0.04,-0.03,-0.05
72,0.53,1.25,0.1,-0.02,0.01
73,0.69,1.23,0.11,0.02,0.02
74,0.53,1.29,0.09,0.04,-0.02
75,0.46,1.16,0.09,-0.05,-0.05
76,0.51,1.19,0.08,-0.05,0.0
