time,thumb,index,middle,ring,little
0,-0.09,-0.01,-0.02,-0.03,-0.04
1,-0.1,-0.01,-0.01,-0.03,-0.02
2,-0.0,0.02,0.01,0.0,0.05
3,-0.04,-0.01,0.02,-0.02,-0.0
4,-0.11,-0.02,-0.02,-0.05,-0.07
5,-0.1,-0.01,0.02,-0.0,-0.04
6,0.02,0.02,-0.01,0.01,0.04
7,-0.06,0.0,0.0,0.01,0.04
8,-0.08,-0.02,-0.02,-0.03,-0.06
9,-0.08,-0.01,-0.01,-0.05,-0.04
0,-0.09,-0.01,-0.02,-0.03,-0.04
1,-0.1,-0.01,-0.01,-0.03,-0.02
2,-0.0,0.02,0.01,0.0,0.05
3,-0.04,-0.01,0.02,-0.02,-0.0
4,-0.11,-0.02,-0.02,-0.05,-0.07
5,-0.1,-0.01,0.02,-0.0,-0.04
6,0.02,0.02,-0.01,0.01,0.04
7,-0.06,0.0,0.0,0.01,0.04
8,-0.08,-0.02,-0.02,-0.03,-0.06
9,-0.08,-0.01,-0.01,-0.05,-0.04
