time,thumb,index,middle,ring,little
0,-0.05,-0.01,-0.01,-0.01,-0.01
1,-0.03,-0.01,-0.01,-0.01,-0.0
2,-0.06,-0.01,-0.01,-0.01,-0.0
3,-0.02,-0.01,-0.01,-0.01,-0.01
4,-0.03,-0.01,-0.0,-0.01,-0.01
5,0.06,0.09,0.02,-0.01,0.0
6,0.81,0.73,0.06,-0.01,0.01
7,1.3,1.55,0.5,0.05,0.03
8,1.58,1.62,0.95,0.09,0.04
9,1.11,1.56,1.04,0.11,0.05
10,1.3,1.4,0.99,0.12,0.04
11,1.3,2.01,1.04,0.16,0.02
12,0.74,0.59,0.89,0.11,0.0
13,0.76,0.38,0.82,0.08,-0.01
14,0.55,0.72,0.71,0.08,-0.01
15,1.12,1.87,0.57,0.06,-0.01
16,1.04,1.66,0.49,0.02,-0.01
17,0.92,1.48,0.45,-0.01,-0.01
18,0.88,1.69,0.46,-0.01,-0.02
19,0.55,1.14,0.4,0.04,-0.03
20,0.56,0.6,0.36,0.03,-0.04
21,0.45,0.46,0.32,0.0,-0.04
22,0.9,1.92,0.33,-0.02,-0.04
23,0.75,1.66,0.32,-0.05,-0.02
24,0.74,1.48,0.31,-0.06,-0.03
25,0.63,1.35,0.3,-0.07,-0.04
26,0.53,1.66,0.28,-0.05,-0.03
27,0.93,0.59,0.26,-0.04,-0.04
28,0.74,0.38,0.24,-0.05,-0.05
29,0.52,0.47,0.25,-0.06,-0.05
30,0.76,1.9,0.26,-0.04,-0.04
31,1.27,1.62,0.25,-0.0,-0.01
32,0.88,1.51,0.25,-0.04,-0.01
33,1.05,1.4,0.24,-0.05,-0.02
34,0.77,1.6,0.24,-0.05,-0.03
35,0.91,1.23,0.22,-0.05,-0.04
36,0.57,0.62,0.22,-0.08,-0.04
37,0.51,0.44,0.21,-0.09,-0.05
38,0.55,0.51,0.22,-0.11,-0.05
39,1.69,1.82,0.22,-0.11,-0.05
40,1.3,1.69,0.29,-0.12,-0.04
41,1.29,1.5,0.29,-0.12,-0.05
42,1.08,1.38,0.28,-0.13,-0.05
43,1.16,1.77,0.25,-0.13,-0.05
44,1.6,0.98,0.23,-0.14,-0.06
