time,thumb,index,middle,ring,little
0,-0.05,-0.01,-0.04,-0.02,-0.05
1,-0.07,-0.01,-0.03,-0.03,-0.05
2,-0.04,-0.01,-0.03,-0.0,-0.03
3,-0.0,0.01,0.0,0.01,0.03
4,-0.03,-0.01,-0.02,-0.01,-0.03
5,-0.1,-0.04,-0.02,-0.05,-0.08
6,-0.05,-0.05,-0.01,-0.0,-0.06
7,0.01,-0.01,0.01,0.01,0.04
8,-0.02,-0.04,-0.0,-0.01,-0.02
9,-0.09,-0.02,-0.03,-0.04,-0.1
0,-0.05,-0.01,-0.04,-0.02,-0.05
1,-0.07,-0.01,-0.03,-0.03,-0.05
2,-0.04,-0.01,-0.03,-0.0,-0.03
3,-0.0,0.01,0.0,0.01,0.03
4,-0.03,-0.01,-0.02,-0.01,-0.03
5,-0.1,-0.04,-0.02,-0.05,-0.08
6,-0.05,-0.05,-0.01,-0.0,-0.06
7,0.01,-0.01,0.01,0.01,0.04
8,-0.02,-0.04,-0.0,-0.01,-0.02
9,-0.09,-0.02,-0.03,-0.04,-0.1
