time,thumb,index,middle,ring,little
0,-0.0,0.0,0.03,0.06,0.05
1,-0.04,-0.03,0.0,0.01,-0.0
2,-0.02,-0.03,0.01,0.02,-0.02
3,-0.03,-0.04,0.02,0.05,0.04
4,0.07,-0.01,0.04,0.02,0.06
5,-0.01,-0.01,0.01,-0.03,0.03
6,-0.11,-0.06,-0.01,-0.02,-0.05
7,-0.01,-0.04,0.05,0.01,-0.01
8,0.02,-0.03,0.03,0.05,0.07
9,0.01,-0.05,0.04,-0.01,-0.01
10,-0.13,-0.05,-0.01,-0.03,-0.07
11,-0.07,-0.06,0.01,-0.02,-0.03
12,0.03,-0.03,0.03,0.02,0.04
13,-0.0,-0.05,-0.02,0.0,0.06
14,-0.08,-0.07,-0.01,-0.02,-0.05
15,-0.06,-0.06,0.01,0.01,-0.09
16,-0.01,-0.04,0.05,0.02,0.06
17,0.05,-0.04,0.02,0.02,0.06
18,-0.07,-0.06,-0.01,-0.01,-0.04
19,-0.04,-0.06,0.01,-0.02,-0.04
20,-0.02,-0.06,0.04,0.02,0.01
21,0.01,-0.06,0.03,0.0,-0.02
22,-0.06,-0.07,0.01,-0.03,-0.02
23,-0.08,-0.08,0.01,-0.03,-0.06
24,-0.04,-0.06,0.04,-0.03,-0.03
25,-0.01,-0.05,0.03,0.01,0.03
26,-0.04,-0.06,-0.0,0.01,0.02
27,-0.12,-0.08,-0.01,-0.05,-0.08
28,-0.04,-0.07,-0.0,-0.01,-0.0
29,-0.0,-0.05,0.03,0.02,0.04
30,-0.05,-0.06,0.01,-0.01,0.01
31,-0.1,-0.08,-0.01,-0.03,-0.08
32,-0.07,-0.06,0.01,0.01,-0.04
33,-0.0,0.04,0.03,0.02,0.04
34,0.71,2.28,0.05,0.02,0.01
35,1.41,1.87,0.05,-0.04,-0.05
36,1.16,1.68,0.05,-0.02,-0.05
37,1.64,1.64,0.07,-0.0,0.02
38,1.56,1.57,0.08,-0.0,0.03
39,1.13,1.57,0.04,-0.02,-0.03
40,1.18,1.56,0.05,-0.02,-0.03
41,1.23,2.26,0.07,0.01,-0.01
42,1.38,0.85,0.07,0.02,0.06
43,0.64,0.54,0.05,-0.02,0.01
44,0.43,0.41,0.03,-0.06,-0.07
45,0.55,0.6,0.05,-0.01,-0.04
46,1.44,2.79,0.1,0.02,0.08
47,1.18,2.05,0.05,-0.04,0.06
48,0.99,1.59,0.07,-0.07,-0.05
49,0.98,1.57,0.06,-0.03,0.0
50,1.47,1.6,0.1,-0.02,0.07
51,1.31,1.56,0.06,-0.03,0.03
52,0.72,1.35,0.05,-0.06,-0.04
53,0.85,1.36,0.05,-0.05,-0.04
54,1.29,1.48,0.08,-0.01,0.07
55,1.01,1.5,0.08,-0.02,0.05
56,0.79,1.33,0.02,-0.05,-0.02
57,0.95,1.36,0.03,-0.05,-0.07
58,0.98,1.35,0.06,-0.02,0.01
59,1.11,1.41,0.05,-0.02,0.02
60,1.01,1.33,0.03,-0.02,-0.01
61,0.74,1.29,0.03,-0.06,-0.04
62,0.95,1.33,0.03,-0.03,-0.03
63,1.11,1.4,0.04,-0.02,0.03
64,0.99,1.31,0.03,-0.04,0.03
65,0.74,1.24,0.01,-0.07,-0.1
66,0.97,1.29,0.03,-0.04,-0.02
67,1.14,1.36,0.04,-0.04,0.06
68,0.98,1.26,0.03,-0.03,0.02
69,0.78,1.19,0.0,-0.05,-0.07
70,0.75,1.21,0.01,-0.05,-0.05
71,1.21,1.39,0.05,-0.04,0.05
72,1.07,1.31,0.05,-0.06,0.02
73,0.67,1.21,0.03,-0.07,-0.08
74,0.64,1.21,0.02,-0.06,-0.07
75,1.02,1.28,0.06,-0.03,0.02
76,1.05,1.29,0.06,-0.04,0.06
77,0.92,1.36,0.03,-0.05,-0.04
78,0.81,2.23,0.05,-0.05,-0.04
79,0.88,1.09,0.05,-0.02,-0.0
80,0.89,0.68,0.06,-0.0,0.03
81,0.66,0.5,0.05,-0.04,-0.01
82,0.42,0.34,0.01,-0.04,-0.08
83,0.45,0.33,-0.02,-0.05,-0.04
84,0.52,0.42,0.06,-0.01,0.05
85,0.62,1.25,0.08,0.0,-0.0
86,0.97,2.12,0.03,-0.08,-0.08
87,1.11,1.8,0.06,-0.05,-0.05
