time,thumb,index,middle,ring,little
0,-0.13,-0.0,-0.01,-0.01,0.01
1,-0.05,0.02,0.03,-0.03,-0.01
2,-0.0,-0.01,0.0,0.01,0.02
3,-0.01,0.03,-0.03,0.02,0.0
4,-0.01,0.0,-0.0,-0.0,-0.03
5,-0.08,0.03,0.02,0.03,0.04
6,-0.03,-0.0,0.01,0.02,0.01
7,-0.06,0.01,-0.01,0.01,-0.01
8,-0.04,0.02,-0.01,0.0,-0.05
9,-0.08,0.0,-0.05,-0.02,0.0
10,-0.0,0.02,-0.0,0.0,0.03
11,-0.02,0.01,-0.01,-0.01,0.01
12,0.04,0.01,0.0,0.02,0.03
13,-0.08,-0.03,-0.01,-0.04,-0.09
14,-0.07,-0.02,-0.01,0.04,-0.01
15,0.01,0.0,0.01,0.02,-0.0
16,-0.06,0.02,-0.03,-0.02,0.07
17,-0.04,0.0,-0.01,0.01,-0.01
18,-0.03,-0.01,0.02,0.03,-0.07
19,0.04,-0.01,-0.02,0.01,0.02
20,-0.0,-0.01,-0.0,0.02,-0.02
21,0.03,-0.02,-0.01,0.0,-0.01
22,0.02,-0.02,-0.06,-0.0,-0.07
23,0.0,0.01,0.0,0.03,0.01
24,-0.02,0.02,0.02,-0.01,-0.01
25,0.03,0.02,-0.01,0.02,-0.03
26,-0.09,0.0,-0.01,0.02,-0.09
27,0.04,0.01,0.0,0.05,0.0
28,0.07,0.01,-0.01,-0.01,0.02
29,0.05,0.04,0.01,0.0,0.09
30,0.03,-0.0,0.0,0.0,0.29
31,0.08,0.01,0.0,0.05,0.35
32,0.15,-0.01,0.01,0.15,0.76
33,0.15,-0.02,0.07,0.21,1.38
34,0.32,0.01,0.18,0.48,2.66
35,0.39,-0.02,0.33,1.46,4.96
36,0.43,0.01,0.28,1.7,5.48
37,0.35,0.06,0.26,2.12,4.51
38,0.33,0.03,0.25,2.12,4.63
39,0.26,0.01,0.21,1.84,3.63
40,0.37,0.03,0.2,2.0,3.77
41,0.38,0.03,0.19,1.91,3.91
42,0.33,-0.01,0.19,1.93,3.77
43,0.18,0.01,0.17,1.7,3.05
44,0.36,0.03,0.18,1.6,2.55
45,0.41,0.04,0.14,1.7,3.26
46,0.33,0.06,0.1,1.54,2.66
47,0.34,0.04,0.07,1.44,2.55
48,0.38,0.01,0.09,1.51,2.98
49,0.35,0.03,0.09,1.6,3.26
50,0.36,-0.02,0.06,1.37,2.44
51,0.3,0.04,0.09,1.36,2.69
52,0.18,-0.0,0.07,1.34,2.81
53,0.31,0.03,0.09,1.54,2.81
54,0.27,0.05,0.09,1.39,2.58
55,0.41,0.05,0.05,1.62,2.49
56,0.2,0.01,0.07,1.37,2.88
57,0.45,0.08,0.09,1.56,3.34
58,0.29,0.06,0.06,1.44,3.26
59,0.29,0.03,0.06,1.36,2.81
60,0.2,0.03,0.06,1.28,2.36
61,0.3,0.04,0.04,1.31,2.98
62,0.41,0.06,0.07,1.3,2.81
63,0.3,0.02,0.09,1.28,2.63
64,0.27,0.03,0.04,1.15,2.85
65,0.15,0.03,0.04,1.41,2.36
66,0.34,0.05,0.07,1.31,2.61
67,0.23,0.01,0.04,1.24,2.42
68,0.28,0.03,0.04,1.3,2.58
69,0.2,0.05,0.03,1.25,2.15
70,0.41,0.03,0.04,1.31,2.61
71,0.26,0.02,0.06,1.28,2.85
72,0.24,0.03,0.0,1.25,2.44
73,0.18,-0.02,0.05,1.27,2.29
74,0.4,0.05,0.05,1.25,2.49
75,0.26,0.03,0.05,1.25,2.27
76,0.22,0.01,0.04,1.03,2.52
77,0.05,-0.03,0.0,1.16,2.22
78,0.23,-0.0,0.03,1.33,2.24
79,0.33,0.01,0.03,1.22,2.42
80,0.35,-0.0,0.02,1.15,2.58
81,0.27,-0.01,0.01,1.24,2.08
82,0.24,-0.0,0.05,1.31,2.19
83,0.27,0.01,0.04,1.21,2.49
84,0.25,0.03,0.01,1.22,2.08
85,0.22,0.01,0.03,1.14,2.15
86,0.11,0.05,0.01,1.01,2.1
87,0.28,0.01,0.03,1.24,2.34
88,0.18,0.01,0.03,1.22,2.55
89,0.24,0.01,0.04,1.08,2.39
90,0.16,0.01,0.01,1.24,1.93
91,0.35,0.01,0.02,1.31,2.44
92,0.24,0.03,0.03,1.14,2.24
93,0.26,0.01,0.01,1.05,2.31
94,0.16,0.01,0.04,1.16,2.17
95,0.29,0.02,0.02,1.21,2.27
96,0.27,0.02,0.02,1.21,2.24
97,0.24,0.01,0.05,0.9,2.24
98,0.16,0.01,0.01,1.06,2.0
99,0.22,0.02,-0.01,1.03,2.24
100,0.26,0.01,0.02,1.1,2.29
101,0.22,0.01,0.02,1.21,2.13
102,0.17,0.01,0.01,1.02,2.06
103,0.2,0.03,0.04,1.3,1.78
104,0.26,0.02,0.02,1.08,2.13
105,0.25,-0.01,0.04,0.98,2.17
106,0.24,0.03,0.02,1.1,1.93
107,0.18,0.01,0.04,0.93,1.96
108,0.28,0.02,0.02,1.11,2.04
109,0.2,-0.0,0.02,1.06,1.98
110,0.18,-0.0,0.01,1.07,2.19
111,0.15,0.01,-0.04,0.83,2.0
112,0.22,0.0,0.04,0.91,2.02
113,0.28,0.01,0.02,1.06,2.17
114,0.16,0.01,0.05,1.12,2.15
115,0.18,0.02,-0.01,1.03,1.91
116,0.24,0.01,0.02,1.07,2.04
117,0.27,0.0,0.02,1.15,2.1
118,0.19,-0.02,-0.01,1.02,1.98
119,0.19,0.0,0.01,0.98,2.0
120,0.25,0.0,0.04,1.11,1.8
121,0.26,0.01,0.0,1.06,2.1
122,0.13,-0.03,0.02,0.98,1.76
123,0.16,0.01,-0.01,0.98,1.96
124,0.08,0.02,-0.04,1.15,1.8
125,0.29,0.01,0.0,1.01,2.02
126,0.23,-0.01,-0.0,1.1,1.93
127,0.21,0.01,-0.01,1.07,2.08
128,0.05,-0.0,0.0,1.07,2.0
129,0.18,0.01,-0.01,1.05,2.22
