time,thumb,index,middle,ring,little
0,0.04,0.0,-0.01,-0.01,0.02
1,-0.07,0.01,0.02,-0.0,0.02
2,0.07,0.0,0.0,0.0,0.01
3,-0.07,-0.03,0.0,-0.04,-0.02
4,-0.01,-0.01,-0.01,0.02,-0.0
5,-0.01,0.01,-0.01,-0.04,0.0
6,0.0,-0.0,0.01,0.0,-0.02
7,-0.11,-0.0,-0.02,-0.06,-0.02
8,-0.02,0.01,0.01,0.02,-0.0
9,0.02,-0.0,0.01,-0.01,-0.01
10,-0.07,0.02,-0.02,0.02,0.02
11,-0.16,-0.02,-0.02,-0.02,-0.04
12,-0.05,-0.0,0.01,-0.04,-0.0
13,-0.02,0.01,0.01,-0.01,0.03
14,-0.05,0.02,0.02,-0.05,-0.01
15,-0.09,-0.0,-0.02,-0.05,-0.01
16,-0.06,-0.0,0.02,-0.07,-0.04
17,-0.03,-0.0,0.0,-0.01,0.01
18,-0.07,-0.01,-0.03,-0.04,-0.03
19,-0.06,0.0,0.0,-0.01,-0.01
20,-0.12,-0.0,-0.04,-0.01,-0.0
21,-0.01,-0.0,0.02,0.01,-0.01
22,-0.05,-0.0,0.02,-0.01,-0.03
23,-0.02,-0.01,-0.01,-0.01,0.01
24,-0.12,0.02,-0.02,-0.04,-0.02
25,0.01,0.01,-0.0,-0.02,0.03
26,-0.08,0.0,0.01,-0.01,-0.02
27,-0.06,0.0,0.02,-0.03,-0.02
28,-0.11,-0.02,-0.01,-0.04,-0.06
29,-0.07,0.02,-0.0,-0.04,-0.02
30,-0.06,0.01,0.01,-0.0,-0.0
31,-0.07,-0.01,0.02,0.01,0.02
32,-0.06,-0.01,0.02,-0.01,-0.04
33,0.02,0.04,0.02,0.03,-0.04
34,0.02,0.07,0.08,0.02,0.01
35,0.06,0.15,0.13,0.08,0.0
36,0.13,0.45,0.32,0.06,-0.02
37,0.25,1.36,0.53,0.1,-0.08
38,0.18,1.77,0.87,0.32,0.01
39,0.14,1.95,0.96,0.27,-0.03
40,0.24,1.81,1.03,0.46,0.05
41,0.23,1.75,1.12,0.5,0.08
42,0.52,1.66,1.13,0.64,0.1
43,0.48,1.64,0.91,0.64,0.07
44,0.47,1.55,0.96,0.69,0.09
45,0.26,1.57,0.93,0.64,0.08
46,0.44,1.45,0.91,0.67,0.13
47,0.4,1.48,0.95,0.58,0.12
48,0.34,1.46,0.87,0.68,0.07
49,0.3,1.38,0.83,0.63,0.05
50,0.31,1.43,0.87,0.71,0.13
51,0.44,1.4,0.9,0.7,0.17
52,0.43,1.35,0.94,0.68,0.09
53,0.33,1.33,0.84,0.67,0.12
54,0.24,1.42,0.88,0.7,0.11
55,0.43,1.34,0.87,0.67,0.18
56,0.44,1.4,0.91,0.67,0.16
57,0.45,1.27,0.87,0.67,0.19
58,0.27,1.25,0.83,0.71,0.29
59,0.57,1.3,0.87,0.7,0.36
60,0.46,1.28,0.85,0.61,0.3
61,0.19,1.27,0.83,0.67,0.25
62,0.41,1.3,0.84,0.53,0.21
63,0.48,1.26,0.83,0.67,0.2
64,0.37,1.27,0.83,0.56,0.22
65,0.4,1.25,0.81,0.62,0.25
66,0.21,1.12,0.76,0.49,0.17
67,0.47,1.3,0.81,0.67,0.23
68,0.5,1.26,0.8,0.63,0.23
69,0.47,1.2,0.83,0.46,0.18
70,0.28,1.16,0.78,0.56,0.19
71,0.28,1.17,0.84,0.55,0.16
72,0.43,1.22,0.81,0.63,0.17
73,0.39,1.19,0.76,0.54,0.12
74,0.33,1.19,0.74,0.55,0.12
75,0.23,1.27,0.74,0.55,0.1
76,0.41,1.21,0.77,0.52,0.12
77,0.35,1.19,0.73,0.53,0.15
78,0.3,1.2,0.75,0.54,0.11
79,0.32,1.26,0.8,0.56,0.13
80,0.41,1.21,0.75,0.56,0.11
81,0.29,1.18,0.72,0.55,0.09
82,0.41,1.2,0.76,0.5,0.11
83,0.23,1.08,0.74,0.49,0.02
84,0.41,1.17,0.74,0.64,0.13
85,0.31,1.08,0.75,0.51,0.05
86,0.43,1.15,0.74,0.52,0.1
87,0.2,1.13,0.74,0.49,0.08
88,0.34,1.13,0.78,0.49,0.11
89,0.24,1.16,0.74,0.5,0.1
90,0.32,1.25,0.71,0.55,0.11
91,0.05,1.12,0.68,0.4,0.07
92,0.3,1.19,0.75,0.54,0.07
93,0.36,1.17,0.75,0.53,0.1
94,0.37,1.21,0.68,0.46,0.05
95,0.24,1.13,0.69,0.48,0.04
96,0.3,1.06,0.68,0.53,0.11
97,0.26,1.16,0.72,0.53,0.1
98,0.27,1.14,0.69,0.48,0.07
99,0.23,1.17,0.71,0.47,0.05
100,0.22,1.22,0.68,0.48,0.09
101,0.3,1.18,0.74,0.46,0.06
102,0.19,1.11,0.69,0.49,0.06
103,0.32,1.14,0.73,0.5,0.07
104,0.06,1.19,0.62,0.47,0.05
105,0.42,1.19,0.7,0.46,0.11
106,0.29,1.18,0.69,0.48,0.05
107,0.24,1.11,0.67,0.49,0.08
108,0.1,1.11,0.71,0.45,0.03
109,0.32,1.2,0.76,0.5,0.06
110,0.35,1.12,0.67,0.43,0.06
111,0.31,1.11,0.69,0.46,0.04
112,0.14,1.04,0.69,0.41,0.04
113,0.26,1.13,0.69,0.34,0.09
114,0.34,1.12,0.71,0.51,0.09
115,0.24,1.1,0.6,0.43,-0.01
116,0.24,1.14,0.67,0.41,0.03
117,0.11,1.11,0.73,0.52,0.09
118,0.3,1.16,0.69,0.43,0.09
119,0.27,1.13,0.66,0.52,0.04
