time,thumb,index,middle,ring,little
0,0.06,0.0,0.0,0.02,0.06
1,0.0,0.03,0.03,0.0,-0.04
2,0.01,0.02,0.01,-0.02,0.02
3,-0.14,-0.01,-0.02,-0.03,0.01
4,-0.05,-0.0,-0.01,0.04,0.04
5,0.02,0.0,0.0,0.0,0.05
6,-0.06,-0.0,0.02,-0.02,-0.0
7,-0.07,-0.02,0.0,-0.08,-0.05
8,-0.09,-0.03,-0.01,-0.01,0.03
9,0.0,0.01,0.0,0.01,0.04
10,-0.06,-0.0,-0.0,-0.04,-0.0
11,-0.05,-0.01,-0.0,-0.03,0.0
12,-0.07,-0.04,0.03,-0.03,0.03
13,-0.0,-0.01,-0.01,-0.01,0.04
14,-0.02,0.02,-0.01,-0.01,-0.02
15,-0.04,0.02,0.0,0.01,0.02
16,-0.11,0.02,0.0,-0.02,-0.05
17,-0.0,0.01,0.03,0.0,0.03
18,-0.04,0.02,-0.01,-0.05,0.02
19,-0.03,-0.05,0.02,-0.0,0.02
20,-0.1,-0.0,-0.06,-0.0,-0.02
21,-0.04,0.01,0.01,0.02,0.04
22,-0.01,-0.01,0.01,0.01,0.03
23,-0.01,-0.03,0.03,0.04,0.02
24,-0.08,-0.02,-0.0,-0.09,-0.03
25,-0.03,-0.04,0.0,-0.01,0.0
26,0.05,0.02,0.02,0.01,0.04
27,-0.01,0.02,0.0,-0.01,0.0
28,-0.08,-0.02,0.0,-0.01,-0.02
29,-0.02,-0.05,-0.01,-0.02,-0.02
30,0.01,-0.01,0.0,0.0,0.01
31,-0.07,0.04,-0.0,-0.06,0.01
32,-0.01,0.0,0.0,-0.0,-0.01
33,-0.09,-0.02,-0.0,-0.02,-0.04
34,0.04,0.02,0.0,-0.01,0.03
35,-0.04,0.02,0.01,-0.02,-0.01
36,0.01,-0.0,0.03,-0.0,0.01
37,-0.08,-0.02,-0.02,-0.01,-0.02
38,-0.03,0.02,-0.0,0.01,0.05
39,-0.01,-0.0,0.01,0.02,0.03
40,0.0,0.03,0.03,0.03,0.03
41,0.04,0.04,-0.0,-0.0,0.03
42,0.14,0.31,0.09,-0.0,0.33
43,0.2,1.66,0.95,0.56,0.53
44,0.29,2.06,1.81,1.41,0.6
45,0.22,2.06,1.93,1.86,0.5
46,0.5,2.01,2.02,1.63,0.51
47,0.6,2.0,1.86,1.41,0.66
48,0.59,1.91,1.64,1.33,0.53
49,0.52,1.79,1.79,1.22,0.62
50,0.3,1.67,1.88,1.2,0.5
51,0.56,1.77,1.69,1.19,0.6
52,0.43,1.63,1.64,1.02,0.56
53,0.45,1.71,1.67,0.95,0.54
54,0.24,1.57,1.58,0.96,0.48
55,0.47,1.68,1.65,1.07,0.53
56,0.4,1.64,1.59,0.94,0.54
57,0.39,1.49,1.43,1.01,0.51
58,0.2,1.3,1.54,1.06,0.39
59,0.3,1.49,1.6,0.99,0.49
60,0.44,1.51,1.58,0.99,0.54
61,0.35,1.51,1.6,1.01,0.48
62,0.25,1.49,1.48,0.92,0.47
63,0.24,1.43,1.4,1.05,0.37
64,0.43,1.49,1.5,0.93,0.51
65,0.23,1.47,1.47,1.02,0.52
66,0.25,1.43,1.45,0.95,0.43
67,0.22,1.4,1.4,0.9,0.47
68,0.4,1.48,1.57,1.02,0.52
69,0.29,1.45,1.38,0.8,0.5
70,0.31,1.45,1.35,0.99,0.6
71,0.23,1.49,1.38,0.99,0.76
72,0.48,1.48,1.46,1.07,0.91
73,0.47,1.43,1.28,1.0,0.79
74,0.33,1.39,1.37,1.02,0.75
75,0.22,1.34,1.43,0.9,0.82
76,0.37,1.44,1.38,1.02,1.14
77,0.43,1.39,1.42,1.01,1.14
78,0.4,1.45,1.31,1.08,1.18
79,0.27,1.42,1.33,0.93,1.02
80,0.33,1.23,1.21,0.88,1.02
81,0.4,1.44,1.37,0.99,1.01
82,0.37,1.4,1.31,0.99,0.97
83,0.3,1.32,1.33,0.87,0.87
84,0.29,1.33,1.34,0.84,0.85
85,0.38,1.42,1.35,0.93,0.86
86,0.34,1.42,1.31,0.84,0.87
