time,thumb,index,middle,ring,little
0,0.04,0.0,-0.01,0.0,-0.0
1,0.02,0.01,-0.0,0.02,0.03
2,-0.01,-0.0,-0.02,-0.05,0.05
3,-0.02,-0.0,-0.01,-0.01,-0.01
4,-0.05,-0.01,-0.03,0.01,-0.01
5,0.01,0.0,0.01,0.02,0.03
6,-0.02,-0.0,-0.01,0.01,-0.0
7,-0.02,-0.03,-0.02,0.02,0.01
8,-0.06,0.01,-0.01,-0.01,-0.02
9,0.05,-0.01,-0.01,0.02,0.06
10,0.01,0.0,0.0,0.04,0.01
11,0.0,0.0,-0.04,0.02,0.01
12,-0.13,-0.02,-0.02,0.02,-0.03
13,-0.02,0.0,-0.01,0.02,0.06
14,0.03,-0.01,-0.01,0.01,0.03
15,-0.0,-0.03,-0.05,0.05,0.06
16,-0.07,-0.01,0.01,-0.01,-0.03
17,-0.01,-0.02,-0.05,0.01,0.01
18,0.03,-0.0,0.01,0.02,0.04
19,-0.01,-0.01,-0.01,0.02,-0.0
20,0.0,-0.0,-0.01,-0.01,0.0
21,-0.06,0.0,-0.02,-0.01,0.02
22,0.02,-0.0,-0.01,0.01,0.03
23,-0.01,0.01,-0.02,-0.01,-0.0
24,-0.03,-0.0,0.0,0.02,0.03
25,-0.07,-0.03,0.0,0.01,-0.01
26,0.05,-0.01,0.01,0.02,0.03
27,-0.02,-0.02,-0.02,0.03,0.03
28,-0.05,0.02,-0.04,0.03,0.02
29,-0.08,-0.02,-0.02,-0.01,-0.01
30,-0.03,-0.04,-0.01,-0.04,0.02
31,0.04,-0.0,0.0,0.03,0.03
32,-0.02,-0.01,0.0,-0.05,-0.03
33,-0.03,-0.01,-0.01,0.01,-0.03
34,-0.03,0.0,0.03,0.01,0.01
35,0.02,-0.0,0.0,0.02,0.03
36,-0.01,0.02,-0.0,0.05,0.03
37,0.09,0.08,0.09,0.28,0.08
38,0.18,0.4,0.42,0.97,0.36
39,0.31,1.0,0.69,1.76,0.67
40,0.26,1.51,1.13,1.89,0.76
41,0.32,1.67,1.59,1.89,0.66
42,0.39,1.65,1.75,1.78,0.63
43,0.66,1.67,1.75,1.53,0.78
44,0.59,1.52,1.63,1.41,0.69
45,0.83,1.48,1.58,1.1,0.72
46,0.55,1.34,1.44,1.07,0.62
47,0.88,1.39,1.53,1.11,0.71
48,0.76,1.4,1.54,1.14,0.66
49,0.65,1.32,1.57,1.04,0.62
50,0.44,1.28,1.42,0.96,0.6
51,0.63,1.3,1.44,1.1,0.65
52,0.65,1.28,1.45,0.98,0.69
53,0.56,1.24,1.39,0.89,0.6
54,0.46,1.2,1.37,0.81,0.55
55,0.59,1.2,1.38,0.91,0.51
56,0.61,1.24,1.41,0.92,0.64
57,0.57,1.23,1.37,0.81,0.69
58,0.51,1.17,1.36,0.85,0.52
59,0.47,1.26,1.38,0.86,0.57
60,0.59,1.22,1.35,0.81,0.54
61,0.47,1.14,1.32,0.83,0.53
62,0.47,1.12,1.28,0.79,0.53
63,0.38,1.09,1.26,0.79,0.54
64,0.64,1.18,1.25,0.83,0.55
65,0.52,1.23,1.35,0.64,0.5
66,0.54,1.12,1.27,0.78,0.52
67,0.38,1.09,1.29,0.71,0.4
68,0.58,1.13,1.26,0.77,0.56
69,0.54,1.07,1.22,0.74,0.51
70,0.39,1.09,1.22,0.87,0.52
71,0.25,1.07,1.29,0.67,0.4
72,0.44,1.09,1.24,0.8,0.52
73,0.55,1.18,1.24,0.78,0.5
74,0.37,1.09,1.21,0.72,0.47
75,0.36,1.12,1.28,0.69,0.36
76,0.44,1.06,1.18,0.71,0.46
77,0.49,1.13,1.19,0.8,0.54
78,0.41,1.0,1.22,0.76,0.42
79,0.34,1.1,1.17,0.72,0.44
80,0.38,1.09,1.29,0.74,0.42
81,0.5,1.12,1.23,0.75,0.45
82,0.27,1.04,1.2,0.71,0.39
83,0.34,1.09,1.15,0.63,0.42
84,0.33,1.07,1.22,0.66,0.43
85,0.49,1.09,1.18,0.72,0.49
86,0.41,1.16,1.12,0.72,0.39
87,0.38,1.06,1.14,0.67,0.44
88,0.26,1.07,1.2,0.6,0.31
89,0.48,1.05,1.16,0.7,0.46
90,0.48,1.04,1.14,0.65,0.42
91,0.35,1.03,1.19,0.68,0.4
92,0.18,1.05,1.12,0.68,0.34
93,0.35,1.04,1.14,0.71,0.46
94,0.44,1.0,1.14,0.72,0.45
95,0.38,1.03,1.2,0.59,0.47
96,0.34,1.04,1.17,0.66,0.5
97,0.39,1.01,1.11,0.7,0.59
98,0.45,1.05,1.13,0.75,0.64
99,0.46,1.03,1.09,0.76,0.52
100,0.36,1.01,1.12,0.71,0.44
101,0.33,1.04,1.13,0.66,0.43
102,0.41,1.09,1.14,0.69,0.46
103,0.35,1.09,1.12,0.57,0.5
104,0.31,0.98,1.13,0.69,0.43
105,0.29,0.99,1.12,0.64,0.44
106,0.42,1.05,1.11,0.67,0.46
107,0.26,1.0,1.1,0.68,0.42
108,0.38,1.07,1.14,0.65,0.39
109,0.26,0.95,1.09,0.62,0.41
110,0.42,1.05,1.1,0.68,0.44
111,0.38,1.03,1.16,0.62,0.44
112,0.32,1.06,1.12,0.66,0.4
113,0.21,1.03,1.0,0.56,0.36
114,0.24,1.03,1.1,0.68,0.46
115,0.45,1.03,1.08,0.68,0.45
116,0.35,1.0,1.1,0.61,0.37
117,0.23,0.98,1.08,0.59,0.34
118,0.34,0.99,0.95,0.66,0.38
119,0.41,1.04,1.12,0.7,0.39
120,0.28,1.01,1.11,0.62,0.37
121,0.31,1.02,1.08,0.59,0.33
122,0.2,1.0,1.17,0.6,0.34
123,0.38,0.98,1.1,0.65,0.4
124,0.26,0.97,1.16,0.57,0.44
125,0.35,0.99,1.08,0.55,0.36
126,0.26,0.96,1.06,0.67,0.34
127,0.34,1.0,1.07,0.6,0.4
128,0.31,0.95,1.14,0.69,0.33
129,0.27,0.98,1.0,0.59,0.34
130,0.2,1.04,1.1,0.47,0.28
131,0.4,1.02,1.08,0.64,0.37
132,0.37,0.97,1.03,0.59,0.37
133,0.26,0.94,1.07,0.55,0.29
134,0.16,0.92,1.08,0.52,0.32
135,0.31,0.98,1.14,0.58,0.37
136,0.4,1.0,1.1,0.58,0.37
137,0.24,1.06,1.16,0.67,0.3
138,0.22,0.93,1.01,0.56,0.27
139,0.25,0.97,1.1,0.58,0.33
