time,thumb,index,middle,ring,little
0,0.02,-0.01,-0.05,0.06,-0.0
1,-0.07,-0.03,-0.03,-0.01,-0.08
2,-0.06,-0.03,-0.03,-0.03,-0.05
3,0.05,0.01,0.01,0.04,0.02
4,0.02,-0.03,0.03,0.03,0.01
5,-0.09,-0.02,-0.01,0.0,-0.06
6,-0.03,-0.02,-0.01,0.0,-0.06
7,0.0,-0.01,-0.0,0.02,-0.01
8,-0.02,-0.01,0.0,0.01,0.0
9,-0.02,-0.02,0.03,-0.03,-0.04
10,-0.07,-0.03,-0.01,-0.02,-0.07
11,-0.01,-0.02,-0.01,0.0,-0.04
12,0.03,-0.0,0.01,0.02,0.03
13,-0.01,0.01,-0.01,0.01,-0.01
14,-0.04,-0.03,-0.03,-0.02,-0.09
15,-0.03,-0.05,-0.01,0.01,-0.05
16,0.08,-0.01,-0.0,0.03,0.01
17,0.01,-0.04,-0.03,0.02,0.02
18,-0.1,-0.03,-0.01,-0.01,-0.1
19,-0.07,-0.02,0.0,-0.01,-0.06
20,0.04,0.01,0.01,0.03,0.02
21,-0.01,0.0,0.01,0.01,0.0
22,-0.09,-0.02,-0.01,0.0,-0.04
23,-0.04,-0.03,0.0,-0.01,-0.08
24,-0.0,0.01,0.02,0.02,-0.01
25,-0.04,-0.01,0.06,0.02,0.01
26,-0.01,-0.02,0.1,-0.01,-0.03
27,-0.11,-0.03,0.04,0.01,-0.07
28,-0.06,-0.01,0.06,0.0,-0.04
29,0.07,0.01,0.08,0.04,0.0
30,-0.04,-0.04,0.06,0.01,0.01
31,-0.1,-0.02,0.05,-0.01,-0.1
32,-0.02,0.04,0.12,0.01,0.0
33,0.16,0.16,0.2,0.03,0.01
34,1.48,1.6,0.57,0.05,0.0
35,1.89,2.02,0.89,0.35,0.03
36,1.68,1.83,1.29,0.42,0.09
37,2.13,1.84,1.31,0.39,0.25
38,1.91,1.73,1.3,0.35,0.24
39,1.47,1.61,1.12,0.26,0.11
40,1.43,1.55,1.08,0.26,0.11
41,1.95,1.6,1.12,0.31,0.17
42,1.95,1.56,1.02,0.31,0.17
43,1.64,1.51,1.05,0.32,0.13
44,1.57,1.46,0.98,0.23,0.08
45,1.51,1.5,1.07,0.25,0.11
46,1.79,1.63,1.15,0.31,0.21
47,1.79,1.52,1.0,0.24,0.13
48,1.21,1.44,0.88,0.22,0.03
49,1.62,1.41,0.92,0.25,0.06
50,1.62,1.53,1.02,0.29,0.15
51,1.7,1.52,0.96,0.24,0.14
52,1.22,1.35,0.84,0.19,0.03
53,1.4,1.41,0.84,0.15,0.03
54,1.68,1.49,0.91,0.25,0.15
55,1.67,1.41,0.9,0.23,0.13
56,1.37,1.29,0.86,0.19,0.07
57,1.31,1.37,0.83,0.17,0.04
58,1.75,1.4,0.88,0.25,0.11
59,1.72,1.47,0.9,0.19,0.11
60,1.53,1.29,0.87,0.16,0.08
61,1.03,1.31,0.83,0.17,0.03
62,1.54,1.33,0.82,0.14,0.08
63,1.97,1.45,0.87,0.21,0.12
64,1.32,1.34,0.83,0.15,0.11
65,1.03,1.21,0.75,0.11,-0.01
66,1.17,1.23,0.8,0.13,0.04
67,1.82,1.38,0.86,0.17,0.11
68,1.22,1.33,0.85,0.15,0.06
69,1.06,1.21,0.74,0.1,-0.01
70,1.1,1.24,0.76,0.11,0.01
71,1.32,1.39,0.85,0.17,0.08
72,1.57,1.3,0.75,0.15,0.07
73,0.96,1.22,0.74,0.13,0.01
74,1.24,1.22,0.74,0.11,0.01
