time,thumb,index,middle,ring,little
0,-0.01,-0.01,-0.04,-0.01,0.01
1,-0.04,0.02,-0.01,-0.04,-0.05
2,-0.06,0.03,0.03,0.03,0.01
3,-0.01,0.0,0.01,-0.0,-0.01
4,0.02,0.0,0.0,0.03,-0.02
5,-0.03,0.01,-0.02,-0.04,-0.01
6,-0.03,-0.0,0.03,-0.01,0.01
7,0.01,0.0,-0.01,0.0,0.01
8,-0.09,0.02,-0.02,-0.02,-0.03
9,-0.02,0.01,-0.03,-0.01,-0.01
10,-0.05,-0.02,-0.0,0.03,0.01
11,0.02,0.0,-0.02,-0.01,-0.01
12,-0.03,0.0,-0.03,-0.02,-0.07
13,0.01,0.01,-0.01,-0.01,-0.04
14,-0.06,-0.0,0.0,-0.02,-0.04
15,0.02,0.01,-0.01,-0.0,-0.01
16,0.01,0.01,0.02,-0.01,0.0
17,-0.03,-0.0,0.02,-0.01,-0.01
18,-0.09,0.02,-0.02,-0.02,-0.04
19,-0.04,0.02,-0.01,-0.01,0.02
20,-0.01,-0.0,-0.01,-0.01,-0.0
21,-0.06,-0.01,-0.01,0.02,-0.03
22,-0.04,-0.01,-0.01,-0.08,-0.04
23,0.0,-0.0,-0.01,-0.02,-0.02
24,-0.01,-0.0,0.0,-0.01,-0.02
25,-0.03,-0.01,-0.01,0.01,-0.02
26,-0.04,0.0,0.0,-0.02,-0.05
27,-0.04,0.0,0.0,-0.0,-0.03
28,-0.0,-0.01,0.0,-0.01,-0.02
29,-0.01,-0.02,-0.02,-0.03,-0.01
30,-0.03,-0.0,-0.01,-0.02,-0.02
31,-0.05,-0.02,-0.01,-0.02,-0.04
32,0.01,-0.01,-0.0,0.0,-0.0
33,-0.04,0.02,-0.02,-0.03,-0.03
34,-0.0,0.07,0.06,0.0,0.03
35,0.3,1.98,0.59,0.03,0.36
36,0.56,2.8,1.8,0.19,0.32
37,1.83,2.34,1.87,0.23,0.27
38,1.85,2.11,1.76,0.2,0.25
39,1.36,1.95,1.62,0.16,0.16
40,1.71,2.11,1.65,0.2,0.2
41,1.54,1.93,1.59,0.17,0.13
42,1.54,1.83,1.49,0.14,0.05
43,1.16,1.88,1.49,0.1,0.09
44,1.34,1.95,1.46,0.11,0.09
45,1.34,1.84,1.47,0.14,0.09
46,1.16,1.88,1.38,0.14,0.06
47,1.18,1.74,1.42,0.06,0.03
48,1.22,1.7,1.35,0.15,0.05
49,1.27,1.71,1.33,0.08,0.06
50,1.1,1.7,1.38,0.14,0.09
51,0.96,1.7,1.34,0.08,0.04
52,1.02,1.83,1.32,0.09,0.01
53,1.27,1.77,1.35,0.1,0.05
54,0.96,1.85,1.45,0.08,-0.02
55,0.94,1.7,1.33,0.06,0.02
56,1.0,1.78,1.28,-0.01,-0.0
57,1.15,1.75,1.33,0.07,0.04
58,1.13,1.64,1.31,0.02,0.04
59,0.99,1.73,1.29,0.05,0.02
60,0.87,1.63,1.12,0.04,-0.07
61,1.32,1.71,1.23,0.09,0.05
62,1.21,1.66,1.22,0.1,0.01
63,0.96,1.71,1.26,0.11,0.01
64,0.88,1.58,1.2,-0.01,-0.01
65,0.95,1.39,1.36,0.1,0.01
66,1.1,1.7,1.21,0.06,0.01
67,0.96,1.57,1.23,0.12,-0.02
68,0.9,1.61,1.21,0.07,-0.05
