time,thumb,index,middle,ring,little
0,0.06,0.01,0.02,0.06,0.12
1,0.05,-0.02,0.03,0.07,0.02
2,-0.0,-0.04,0.02,0.03,0.02
3,-0.02,-0.0,-0.02,0.03,-0.02
4,0.07,0.04,0.03,0.07,0.11
5,0.04,0.02,0.02,0.06,0.09
6,-0.04,-0.04,-0.01,0.01,0.03
7,-0.01,0.0,-0.02,0.01,-0.01
8,0.01,0.03,-0.04,0.01,0.03
9,0.06,0.03,-0.0,0.04,0.07
10,0.03,0.03,0.02,0.08,0.03
11,-0.01,-0.0,-0.02,0.01,-0.02
12,0.01,-0.03,0.0,0.04,-0.03
13,0.02,0.01,0.03,0.04,0.09
14,0.01,0.03,0.04,0.02,0.06
15,-0.02,-0.01,0.0,0.01,0.01
16,-0.0,-0.05,-0.01,0.04,0.03
17,0.04,0.02,0.04,-0.0,0.08
18,0.04,-0.02,0.0,0.06,0.02
19,0.0,0.0,0.0,0.05,0.04
20,-0.02,-0.01,-0.0,0.01,-0.0
21,-0.04,-0.01,0.03,0.08,0.03
22,0.05,0.02,0.0,0.06,0.1
23,0.05,-0.0,-0.05,0.01,0.03
24,-0.02,-0.02,-0.02,-0.0,-0.03
25,-0.04,-0.01,-0.01,0.06,0.02
26,0.06,0.0,0.01,0.03,0.09
27,0.03,-0.0,0.05,0.03,0.05
28,-0.04,-0.01,0.0,-0.0,-0.0
29,-0.02,-0.01,0.04,0.04,0.01
30,0.04,0.01,0.04,0.08,0.07
31,0.03,0.08,0.08,0.07,0.06
32,0.01,0.28,0.3,0.14,0.04
33,-0.02,1.32,0.51,0.28,0.09
34,0.07,1.79,1.09,0.55,0.41
35,0.2,2.12,1.38,0.76,0.69
36,0.14,1.83,1.39,0.54,0.64
37,0.11,1.7,1.16,0.64,0.54
38,0.18,1.6,1.17,0.57,0.53
39,0.19,1.69,1.13,0.75,0.75
40,0.18,1.7,1.05,0.74,0.69
41,0.1,1.5,1.03,0.54,0.51
42,0.14,1.42,1.0,0.49,0.61
43,0.19,1.6,1.06,0.67,0.68
44,0.11,1.44,0.93,0.54,0.67
45,0.11,1.46,0.98,0.55,0.51
46,0.09,1.37,0.98,0.54,0.48
47,0.15,1.51,0.99,0.59,0.57
48,0.16,1.5,1.04,0.64,0.56
49,0.09,1.43,0.89,0.51,0.53
50,0.09,1.4,0.9,0.49,0.54
51,0.12,1.44,1.03,0.6,0.58
52,0.16,1.45,0.96,0.6,0.66
53,0.13,1.47,0.87,0.51,0.5
54,0.09,1.3,0.84,0.45,0.43
55,0.1,1.5,0.76,0.46,0.56
56,0.17,1.47,0.93,0.53,0.62
57,0.1,1.39,0.92,0.57,0.49
58,0.06,1.34,0.78,0.45,0.46
59,0.06,1.32,0.9,0.49,0.44
60,0.16,1.47,0.82,0.53,0.6
61,0.15,1.52,0.99,0.57,0.59
62,0.07,2.46,1.23,0.66,0.63
63,0.08,1.06,0.72,0.45,0.3
64,0.13,0.77,0.61,0.32,0.5
65,0.19,0.58,0.44,0.34,0.46
66,0.15,0.48,0.43,0.34,0.43
67,0.07,0.47,0.41,0.28,0.26
68,0.11,1.42,0.62,0.35,0.39
69,0.17,2.43,1.21,0.54,0.66
70,0.16,2.08,1.26,0.94,0.77
71,0.19,1.9,1.19,0.91,0.74
72,0.19,1.93,1.03,0.85,0.83
73,0.31,1.87,1.17,0.83,0.92
74,0.25,1.77,1.08,0.78,0.88
